Name,Age,Email,Location
Alice,28.0,alice@example.com,New York
Bob,34.0,bob@example.com,Los Angeles
Charlie,22.0,charlie@example.com,Chicago
Diana,31.0,diana@example.com,Miami
Unknown,25.0,evan@example.com,Seattle
Fiona,29.0,fiona@example.com,Boston
George,,george@example.com,Atlanta
Hannah,23.0,hannah@example.com,San Francisco
Ian,37.0,ian@example.com,Dallas
Julia,30.0,julia@example.com,Denver
Kevin,26.0,kevin@example.com,Unknown
Laura,32.0,laura@example.com,Houston
Mike,38.0,mike@example.com,Philadelphia
Nina,27.0,nina@example.com,Portland
Oliver,35.0,oliver@example.com,San Diego
Pam,24.0,pam@example.com,San Jose
Quinn,39.0,quinn@example.com,Las Vegas
Rita,33.0,rita@example.com,Charlotte
Sam,21.0,sam@example.com,San Antonio
Tina,36.0,tina@example.com,Fort Worth
