Name,Age,Email,Location
Alice,28,alice@example.com,New York
Bob,34,bob@example.com,Los Angeles
Charlie,22,charlie@example.com,Chicago
Diana,31,diana@example.com,Miami
Evan,25,evan@example.com,Seattle
Fiona,29,fiona@example.com,Boston
George,40,george@example.com,Atlanta
Hannah,23,hannah@example.com,San Francisco
Ian,37,ian@example.com,Dallas
Julia,30,julia@example.com,Denver
Kevin,26,kevin@example.com,Phoenix
Laura,32,laura@example.com,Houston
Mike,38,mike@example.com,Philadelphia
Nina,27,nina@example.com,Portland
Oliver,35,oliver@example.com,San Diego
Pam,24,pam@example.com,San Jose
Quinn,39,quinn@example.com,Las Vegas
Rita,33,rita@example.com,Charlotte
Sam,21,sam@example.com,San Antonio
Tina,36,tina@example.com,Fort Worth
